catid,id,english,viet,price_s,price_m,price_l,description
B,B7,Grilled Prawn Skewers,Bún Tôm Nướng,8.49,,,
B,B8,Grilled Pork Skewers,Bún Thịt Heo Lụi,7.99,,,
B,B9,The Han River Special Vermicelli Bowl,Bún Đặc Biệt,9.49,,,"Deep fried egg rolls, grilled prawn and pork"
P,P1,Chicken Pho,Phở Gà,5.99,6.99,8.49,
P,P2,Prawn Pho,Phở Tôm,6.49,7.49,8.99,
P,P3,Rare Steak Pho,Phở Tái ,5.99,6.99,8.49,
P,P4,Rare Steak and Flank Pho,Phở Tái Nạm,5.99,6.99,8.49,
P,P5,Rare Steak and Tendon Pho,Phở Tái Gân,5.99,6.99,8.49,
P,P6,Rare Steak and Well Done Brisket Pho,Phở Tái Gầu,5.99,6.99,8.49,
P,P7,Rare Steak and Meatball Pho,Phở Tái Bò Viên,5.99,6.99,8.49,
P,P8,Well done Brisket Pho,Phở Gầu,5.99,6.99,8.49,
P,P9,Meatball Pho,Phở Bò Viên,5.99,6.99,8.49,
P,P10,Tofu Pho,Phở Chay ,5.99,6.99,8.49,
P,P11,Combination Pho,Phở Đặc Biệt,6.49,7.49,8.99,
P,P12,Seafood Pho,Phở Hải Sản,6.49,7.49,8.99,
F,F1,Chicken Pan Fried Egg Noodles ,Mì Xào Gà,7.99,,,
F,F2,Pork Pan Fried Egg Noodles,Mì Xào Heo,7.99,,,
F,F3,Beef Pan Fried Egg Noodles ,Mì Xào Bò,7.99,,,
F,F4,Tofu Pan Fried Egg Noodles,Mì Xào Tofu,7.99,,,
F,F5,Seafood Pan Fried Egg Noodles,Mì Xào Hải Sản,8.99,,,
O,,Cassava Cake,Bánh Khoai Mì Nướng ,4.49,,,Baked Cassava roots topped with warm coconut milk and roasted sesame seeds.
O,,Fried Bananas ,Bánh Chuối Chiên,4.49,,,"Deep fried bananas topped with warm coconut milk and sprinkled peanuts.
Add Vanilla Ice Cream (+ $1.49)"
G,,Soda,Nước Ngọt,1.75,,," Coke, Diet Coke, Root Beer, Sprite, Dr. Pepper and Mountain Dew "
G,,Vietnamese Loose Leaf Teas ,Trà Nóng,1.75,,,"Jasmine, green, black or white tea"
G,,Vietnamese Iced Coffee,Cà Phê Sữa Đá,2.99,,,Slow drip Vietnamese coffee with condensed milk 
G,,Thai Iced Tea,,2.49,,,
G,,Mango Smoothies,,3.49,,,
G,,Strawberry Smoothies,,3.49,,,
G,,Avocado Smoothies –Seasonal,,3.49,,,
G,,Fresh Coconut Juice,,2.99,,,
G,,Fresh Lemonade,,2.99,,,
G,,Strawberry Lemonade,,3.49,,,
G,,Iced Tea,,1.99,,,
G,,Bubble Tea,,3.49,,,
